id,lab,image,question,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
compareToReturn,lab1,,The <code>compareTo<\/code> method should return 0 when...,C|the <code>.equals<\/code> method returns true,the <code>.equals<\/code> method returns false,C|the two objects being compared should be considered equal to each other,'this' object should appear <emphasis>before<\/emphasis> the 'other' object,'this' object should appear <emphasis>after<\/emphasis> the 'other' object,,,,,
coverage,lab1,,The JUnit test cases you write for your <strong>DataStructures<\/strong> project must satisfy what coverage threshold before teaching staff test cases will run?,C|100% method coverage,C|80% statement coverage,70% statement coverage,80% branch coverage,80% method coverage,,,,,
insertionSort,lab1,,What is the worst-case runtime of <strong>insertion sort<\/strong>?,C|O(n<sup>2<\/sup>),O(n),O(n<sup>3<\/sup>),O(log n),O(1),,,,,
naturalOrdering,lab1,,The <strong>natural ordering<\/strong> of an aribtrary object is defined by implementing...,C|<code>Comparable<\/code> interface; <code>compareTo<\/code> method,<code>Comparable<\/code> interface; <code>compare<\/code> method,<code>Comparator<\/code> interface; <code>compareTo<\/code> method,<code>Comparator<\/code> interface; <code>compare<\/code> method,<code>.equals<\/code>,,,,,
sortingAlgorithms,lab1,,Which of the following sorting algorithms were <strong>NOT<\/strong> discussed in class?,insertion sort,C|shell sort,selection sort,counting sort,radix sort,bubble sort,bogo sort,C|gnome sort,C|tim sort,
sorterInterface,lab1,,"By default, all non-static methods in an interface are...",C|public,C|abstract,private,void,final,protected,,,,
sorterNotComparable,lab1,,"Iin the <code>Sorter<\/code> interface header, why did we not declare <code>E<\/code> to instead be <code>E extends Comparable<E><\/code>?",C|Not all sorting algorithms are comparison-based,the code would not compile,Restricting <code>E<\/code> to <code>extends Comparable<E><\/code> only works in concrete classes,interfaces are public,,,,,,
scannerDelimeter,lab1,,How can a <code>Scanner<\/code> be used to read a (simple) input CSV file?,"C|specify <code>.useDelimeter(\"",\"")<\/code>",use the default delimeter,<code>Scanner<\/code> cannot be used to process CSV files,,,,,,,
selectionSortAlreadySorted,lab1,,What is the worst-case runtime of <strong>selection sort<\/strong> if the elements are <em>already</em> in sorted order?,C|O(n<sup>2<\/sup>),O(n),O(n<sup>3<\/sup>),O(log n),O(1),,,,,
insertionSortAlreadySorted,lab1,,What is the worst-case runtime of <strong>insertion sort<\/strong> if the elements are <em>already</em> in the desired sorted order?,O(n<sup>2<\/sup>),C|O(n),O(n<sup>3<\/sup>),O(log n),O(1),,,,,
testAbstractClass,lab1,,How can you test an abstract class?,C|test the methods through the concrete classes that extend the abstract class,create an instance of the abstract class and call its methods,create an abstracted test class,you cannot test the methods implemented in an abstract class,,,,,,
designPatterns,lab1,,Which of the following are <strong>software design patterns<\/strong>?,C|model-view-controller,C|strategy,C|singleton,data structure,abstract data type,,,,,
countingSort,lab1,,What is the worst-case runtime of <strong>counting sort<\/strong> when sorting positive integers?,"C|O(n+k), where k is the range of the integers being sorted","O(wn), where w is the range of the integers being sorted","O(n+k), where k is the number of digits in the largest integer","O(wn), where w is the number of digits in the largest integer",,,,,,
bubbleRadix,lab1,,What is the worst-case runtime of <strong>bubble sort<\/strong> if the elements are <em>already<\/em> sorted in the desired order?,O(n<sup>2<\/sup>),C|O(n),O(n<sup>3<\/sup>),O(log n),O(1),,,,,
bubbleRadix,lab1,,What is the worst-case runtime of <strong>radix sort<\/strong> when sorting positive integers?,"O(n+k), where k is the range of the integers being sorted","O(wn), where w is the range of the integers being sorted","O(n+k), where k is the number of digits in the largest integer","C|O(wn), where w is the number of digits in the largest integer",,,,,,
bubbleRadix,lab1,,What is the worst-case runtime of <strong>bubble sort<\/strong> if the elements are originally in a <em>random<\/em> order?,C|O(n<sup>2<\/sup>),O(n),O(n<sup>3<\/sup>),O(log n),O(1),,,,,
sortingReview,lab1,,Which of the following sorting algorithms are <strong>comparison-based<\/strong>?,C|bubble sort,C|insertion sort,C|selection sort,C|bogosort,radix sort,counting sort,,,,
noTSTests,lab1,,Which of the following statements is\/are <strong>true<\/strong> if the teaching staff test cases did not run against your software on your last push to NCSU GitHub before the deadline?,Your coding activity grade will be multiplied by 50%,"C|Your coding activity grade is multiplied by the % of passing TS test cases, so your coding activity grade will be 0 since 0% of teaching staff test cases passed",The last build that successfully executed teaching staff test cases will be used for grading,You will receive an extension on the assignment,,,,,,
sortingReview,lab1,,Which of the following algorithms can sort the integers 1...2<sup>5<\/sup> (in a random order) in <strong>linear<\/strong> time <em>in the worst case<\/em>?,C|counting sort,C|radix sort,insertion sort,selection sort,bubble sort,bogosort,selection sort,,,
sortingReview,lab1,,Which of the following sorting algorithms require extra <em>space<\/em> beyond the original input array of elements?,C|counting sort,C|radix sort,insertion sort,selection sort,bubble sort,bogosort,selection sort,,,
listExample,lab2,,"What list would be produced after executing <code>list.addFirst(3);  list.addFirst(1);  list.addLast(2);  list.set(1, 2);<\/code>?","C|[1,2,2]","[1,3,2]","[2,3,2]","[2,1,3]",,,,,,
arrayListAmortized,lab2,,"The <strong>amortized cost</strong> of each insertion at the end of a dynamically-resizing array-based list is ____ if the array grows by 1 on each resize, and _____ if the array doubles on each resize.",C|O(n); O(1),O(n<sup>2<\/sup>);  O(n),O(n);  O(log n),O(1);  O(n),,,,,,
iteratorExample,lab2,,"Given the <code>list = [2, 4, 3, 5, 1]<\/code>, what is returned after: <br><code>Iterator<Integer> it = list.iterator(); <br>it.next();<br>it.next();<br>it.next();<br>it.next();<br>it.next();<br>return it.hasNext()<\/code>",C|FALSE,NoSuchElementException,1,5,TRUE,null,,,,
listOperationPerformance,lab2,,Which of the following list operations have O(1) worst-case runtime if the list is implemented as a <strong>singly linked list with a tail pointer<\/strong>?,C|<code>size()<\/code>,C|<code>isEmpty()<\/code>,C|<code>last()<\/code>,C|<code>first()<\/code>,<code>removeLast()<\/code>,<code>get(index)<\/code>,,,,
positionalListExample,lab2,,"What <strong>positional list<\/strong> is produced after executing:<br><code>// Start with an empty list<br>Position<Integer> p1 = list.addFirst(1);<br>Position<Integer> p2 = list.addLast(2);<br>Position<Integer> p3 = list.addBefore(p1, 3);<br>Position<Integer> p4 = list.addAfter(p3, 4);<br>list.remove(p1);<\/code>","C|[3, 4, 2]","[3, 1, 4]","[3, 1, 2]","[3, 2, 4]","[1, 3, 2]","[1, 2, 3]",,,,
positionalPerformance,lab2,,Which of the following positional list operations have <code>O(1)<\/code> worst-case runtime if the positional list is implemented as a <strong>doubly linked list with front and tail pointers<\/strong>?,C|<code>size()<\/code>,C|<code>before(p)<\/code>,C|<code>after(p)<\/code>,C|<code>remove(p)<\/code>,"C|<code>addAfter(p, e)<\/code>",C|<code>last()<\/code>,,,,
iteratorExceptions,lab2,,Which of the following exceptions should be thrown by <code>Iterator<\/code>s?,C|<code>NoSuchElementException<\/code> if the client attempts to call <code>it.next()<\/code> when there are no more elements to process,C|<code>IllegalStateException<\/code> if the client attempts to call <code>it.remove()<\/code> when the client has not called <code>it.next()<\/code> before,<code>IndexOutOfBoundsException<\/code> if the client attends to call <code>it.next()<\/code> on an empty list,<code>NoSuchElementException<\/code> if the client attempts to call <code>it.hasNext()<\/code> on an empty list,<code>null</code> when the client attempts to call <code>it.next()<\/code> on an empty list,,,,,
positionalIterators,lab2,,"Given the positional <code>list = [ Position[\""dog\""], Position[\""cat\""], Position[\""bird\""] ]<\/code>, what would be returned from the following operation?<br><code>list.iterator().next()<\/code>",C|<code>dog<\/code>,"<code>Position[\""dog\""]<\/code>",<code>cat<\/code>,"<code>Position[\""cat\""]<\/code>",,,,,,
positionalIterators,lab2,,"Given the positional <code>list = [ Position[\""dog\""], Position[\""cat\""], Position[\""bird\""] ]<\/code>, what would be returned from the following operation?<br><code>list.positions().next()<\/code>",<code>dog<\/code>,"C|<code>Position[\""dog\""]<\/code>",<code>cat<\/code>,"<code>Position[\""cat\""]<\/code>",,,,,,
